academie;stage;annee;semaine;debut;fin;activite;categorie
Djokovic;Été;2020;semaine1;06/07/2020;10/07/2020;Tennis;Tennis
Djokovic;Été;2020;semaine2;13/07/2020;17/07/2020;Tennis;Tennis
Djokovic;Été;2020;semaine3;20/07/2020;24/07/2020;Tennis;Tennis
Djokovic;Été;2020;semaine4;27/07/2020;31/07/2020;Tennis;Tennis
Djokovic;Toussaint;2020;semaine1;19/10/2020;23/10/2020;Tennis;Tennis
Djokovic;Toussaint;2020;semaine1;19/10/2020;23/10/2020;Codage;Informatique
Djokovic;Février;2021;semaine1;15/02/2021;19/02/2021;Tennis;Tennis
Djokovic;Février;2021;semaine1;15/02/2021;19/02/2021;Photo;Photo
Djokovic;Ete;2021;semaine1;05/07/2021;09/07/2021;Tennis;Tennis
Djokovic;Ete;2021;semaine1;05/07/2021;09/07/2021;Eloquence;Eloquence
Djokovic;Ete;2021;semaine2;12/07/2021;16/07/2021;Tennis;Tennis
Djokovic;Ete;2021;Semaine2;12/07/2021;16/07/2021;Eloquence;Eloquence
Djokovic;Ete;2021;semaine3;19/07/2021;23/07/2021;Tennis;Tennis
Djokovic;Ete;2021;semaine3;19/07/2021;23/07/2021;Eloquence;Eloquence
Djokovic;Ete;2021;semaine4;26/07/2021;30/07/2021;Tennis;Tennis
Djokovic;Ete;2021;semaine4;26/07/2021;30/07/2021;Eloquence;Eloquence
Djokovic;Ete;2021;semaine5;02/08/2021;06/08/2021;Tennis;Tennis
Djokovic;Ete;2021;semaine5;02/08/2021;06/08/2021;Eloquence;Eloquence
Djokovic;Toussaint;2021;semaine1;25/10/2021;29/10/2021;Tennis;Tennis
Djokovic;Toussaint;2021;semaine1;25/10/2021;29/10/2021;Théâtre;Théâtre
Djokovic;Toussaint;2021;semaine2;01/11/2021;05/11/2021;Tennis;Tennis
Djokovic;Toussaint;2021;semaine2;01/11/2021;05/11/2021;Théâtre;Théâtre
Djokovic;Février;2022;semaine1;21/02/2022;25/02/2022;Tennis;Tennis
Djokovic;Février;2022;semaine1;21/02/2022;25/02/2022;Dessin;Dessin
Djokovic;Février;2022;semaine2;28/02/2022;04/03/2022;Tennis;Tennis
Djokovic;Février;2022;semaine2;28/02/2022;04/03/2022;Dessin;Dessin
Djokovic;Printemps;2022;semaine1;25/04/2022;29/04/2022;Tennis;Tennis
Djokovic;Printemps;2022;semaine1;25/04/2022;29/04/2022;Environnement;Environnement
Djokovic;Printemps;2022;semaine2;02/05/2022;06/05/2022;Tennis;Tennis
Djokovic;Printemps;2022;semaine2;02/05/2022;06/05/2022;Environnement;Environnement
Rudy Gobert;Printemps;2022;semaine1;25/04/2022;29/04/2022;Basket 8-12 ans;Basket
Rudy Gobert;Printemps;2022;semaine1;25/04/2022;29/04/2022;Basket 13-18 ans;Basket
Rudy Gobert;Printemps;2022;semaine1;25/04/2022;29/04/2022;Anglais;Anglais
Rudy Gobert;Printemps;2022;semaine1;25/04/2022;29/04/2022;Danse Afro;Danse
Rudy Gobert;Printemps;2022;semaine1;25/04/2022;29/04/2022;Danse Hip-Hop;Danse
Rudy Gobert;Printemps;2022;semaine1;25/04/2022;29/04/2022;Boxe;Boxe
Rudy Gobert;Printemps;2022;semaine2;02/05/2022;06/05/2022;Basket 8-12 ans;Basket
Rudy Gobert;Printemps;2022;semaine2;02/05/2022;06/05/2022;Basket 13-18 ans;Basket
Rudy Gobert;Printemps;2022;semaine2;02/05/2022;06/05/2022;Anglais;Anglais
Rudy Gobert;Printemps;2022;semaine2;02/05/2022;06/05/2022;Danse Afro;Danse
Rudy Gobert;Printemps;2022;semaine2;02/05/2022;06/05/2022;Danse Hip-Hop;Danse
Rudy Gobert;Printemps;2022;semaine2;02/05/2022;06/05/2022;Boxe;Boxe
Rudy Gobert;Ete;2022;Semaine1;27/06/2022;01/07/2022;Basket 8-12 ans;Basket
Rudy Gobert;Ete;2022;Semaine1;27/06/2022;01/07/2022;Basket 13-18 ans;Basket
Rudy Gobert;Ete;2022;Semaine1;27/06/2022;01/07/2022;Anglais;Anglais
Rudy Gobert;Ete;2022;Semaine1;27/06/2022;01/07/2022;Danse Afro;Danse
Rudy Gobert;Ete;2022;Semaine1;27/06/2022;01/07/2022;Boxe;Boxe
Rudy Gobert;Ete;2022;Semaine2;04/07/2022;08/07/2022;Basket 8-12 ans;Basket
Rudy Gobert;Ete;2022;Semaine2;04/07/2022;08/07/2022;Basket 13-18 ans;Basket
Rudy Gobert;Ete;2022;Semaine2;04/07/2022;08/07/2022;Anglais;Anglais
Rudy Gobert;Ete;2022;Semaine2;04/07/2022;08/07/2022;Danse Afro;Danse
Rudy Gobert;Ete;2022;Semaine2;04/07/2022;08/07/2022;Boxe;Boxe
Rudy Gobert;Ete;2022;semaine3;11/07/2022;15/07/2022;Basket 8-12 ans;Basket
Rudy Gobert;Ete;2022;semaine3;11/07/2022;15/07/2022;Basket 13-18 ans;Basket
Rudy Gobert;Ete;2022;semaine3;11/07/2022;15/07/2022;Anglais;Anglais
Rudy Gobert;Ete;2022;semaine3;11/07/2022;15/07/2022;Danse Afro;Danse
Rudy Gobert;Ete;2022;semaine3;11/07/2022;15/07/2022;Boxe;Boxe
Rudy Gobert;Ete;2022;semaine4;18/07/2022;22/07/2022;Basket 8-12 ans;Basket
Rudy Gobert;Ete;2022;semaine4;18/07/2022;22/07/2022;Basket 13-18 ans;Basket
Rudy Gobert;Ete;2022;semaine4;18/07/2022;22/07/2022;Anglais;Anglais
Rudy Gobert;Ete;2022;semaine4;18/07/2022;22/07/2022;Danse Afro;Danse
Rudy Gobert;Ete;2022;semaine4;18/07/2022;22/07/2022;Boxe;Boxe
Rudy Gobert;Ete;2022;semaine5;25/07/2022;29/07/2022;Basket 8-12 ans;Basket
Rudy Gobert;Ete;2022;semaine5;25/07/2022;29/07/2022;Basket 13-18 ans;Basket
Rudy Gobert;Ete;2022;semaine5;25/07/2022;29/07/2022;Anglais;Anglais
Rudy Gobert;Ete;2022;semaine5;25/07/2022;29/07/2022;Danse Afro;Danse
Rudy Gobert;Ete;2022;semaine5;25/07/2022;29/07/2022;Boxe;Boxe
Rudy Gobert;Ete;2022;Semaine6;01/08/2022;05/08/2022;Basket 8-12 ans;Basket
Rudy Gobert;Ete;2022;Semaine6;01/08/2022;05/08/2022;Basket 13-18 ans;Basket
Rudy Gobert;Ete;2022;Semaine6;01/08/2022;05/08/2022;Anglais;Anglais
Rudy Gobert;Ete;2022;Semaine6;01/08/2022;05/08/2022;Danse Afro;Danse
Rudy Gobert;Ete;2022;Semaine6;01/08/2022;05/08/2022;Boxe;Boxe
Djokovic;Ete;2022;Semaine1;04/07/2022;08/07/2022; Tennis;Tennis
